Year,Rk,School,Conf,AP Rank,W,L,OSRS,DSRS,SRS,Off,Def,Off,Def,Off,Def,Off,Def
2003,4,Florida State,ACC,11,10,3,7.01,10.74,17.75,,,,,,,,
2003,5,Georgia,SEC (East),7,11,3,5.73,11.74,17.46,,,,,,,,
2003,6,Michigan,Big Ten,6,10,3,6.21,9.88,16.10,,,,,,,,
2003,7,Kansas State,Big 12 (North),14,11,4,8.03,7.72,15.74,,,,,,,,
2003,8,Texas,Big 12 (South),12,10,3,7.66,7.70,15.35,,,,,,,,
2003,9,Iowa,Big Ten,8,10,3,4.72,9.94,14.66,,,,,,,,
2003,10,Miami (FL),Big East,5,11,2,2.43,12.04,14.47,,,,,,,,
2003,11,Miami (OH),MAC (East),10,13,1,9.63,4.59,14.21,,,,,,,,
2003,12,Ohio State,Big Ten,4,11,2,4.78,9.22,14.00,,,,,,,,
2003,13,Maryland,ACC,17,10,3,2.91,10.00,12.92,,,,,,,,
2003,14,Arkansas,SEC (West),,9,4,9.34,3.33,12.67,,,,,,,,
2003,15,Washington State,Pac-10,9,10,3,6.16,6.15,12.31,,,,,,,,
2003,16,Minnesota,Big Ten,20,10,3,10.99,0.89,11.88,,,,,,,,
2003,17,Tennessee,SEC (East),15,10,3,4.50,7.03,11.53,,,,,,,,
2003,18,Nebraska,Big 12 (North),19,10,3,0.31,10.87,11.18,,,,,,,,
2003,19,Ole Miss,SEC (West),13,10,3,7.02,3.97,10.99,,,,,,,,
2003,20,Purdue,Big Ten,18,9,4,3.49,7.30,10.79,,,,,,,,
2003,21,Florida,SEC (East),24,8,5,5.30,5.37,10.67,,,,,,,,
2003,22,Clemson,ACC,22,9,4,2.22,8.27,10.49,,,,,,,,
2003,23,North Carolina State,ACC,,8,5,13.25,-2.84,10.41,,,,,,,,
2003,24,Virginia,ACC,,8,5,3.90,6.25,10.15,,,,,,,,
2003,25,Utah,MWC,21,10,2,5.51,4.50,10.01,,,,,,,,
2003,26,California,Pac-10,,8,6,8.29,1.44,9.73,,,,,,,,
2003,27,Oklahoma State,Big 12 (South),,9,4,6.96,2.36,9.32,,,,,,,,
2003,28,Boise State,WAC,16,13,1,4.70,4.23,8.92,,,,,,,,
2003,29,Virginia Tech,Big East,,8,5,7.25,1.66,8.91,,,,,,,,
2003,30,Auburn,SEC (West),,8,5,-2.34,10.43,8.09,,,,,,,,
2003,31,Oregon State,Pac-10,,8,5,6.51,1.47,7.98,,,,,,,,
2003,32,Michigan State,Big Ten,,8,5,4.22,3.73,7.95,,,,,,,,
2003,33,Texas Tech,Big 12 (South),,8,5,14.67,-7.17,7.50,,,,,,,,
2003,34,West Virginia,Big East,,8,5,3.78,2.73,6.51,,,,,,,,
2003,35,Missouri,Big 12 (North),,8,5,2.45,4.00,6.45,,,,,,,,
2003,36,Wisconsin,Big Ten,,7,6,4.13,2.32,6.44,,,,,,,,
2003,37,Pitt,Big East,,8,5,4.29,1.81,6.10,,,,,,,,
2003,38,Boston College,Big East,,8,5,5.16,0.53,5.69,,,,,,,,
2003,39,Georgia Tech,ACC,,7,6,-1.42,7.02,5.60,,,,,,,,
2003,40,Oregon,Pac-10,,8,5,2.92,2.40,5.32,,,,,,,,
2003,41,Alabama,SEC (West),,4,9,3.95,1.32,5.27,,,,,,,,
2003,42,Colorado State,MWC,,7,6,4.64,0.27,4.91,,,,,,,,
2003,43,Bowling Green State,MAC (West),23,11,3,3.06,1.84,4.90,,,,,,,,
2003,44,New Mexico,MWC,,8,5,2.14,2.60,4.74,,,,,,,,
2003,45,Wake Forest,ACC,,5,7,5.34,-1.14,4.19,,,,,,,,
2003,46,Syracuse,Big East,,6,6,0.96,3.15,4.11,,,,,,,,
2003,47,Connecticut,Ind,,9,3,3.89,-0.15,3.73,,,,,,,,
2003,48,Southern Mississippi,CUSA,,9,4,-4.76,8.34,3.58,,,,,,,,
2003,49,Memphis,CUSA,,9,4,0.35,2.96,3.31,,,,,,,,
2003,50,Washington,Pac-10,,6,6,1.82,1.49,3.30,,,,,,,,
2003,51,South Carolina,SEC (East),,5,7,1.18,2.09,3.27,,,,,,,,
2003,52,Notre Dame,Ind,,5,7,-1.36,4.48,3.12,,,,,,,,
2003,53,Texas Christian,CUSA,25,11,2,2.55,0.28,2.83,,,,,,,,
2003,54,Northern Illinois,MAC (West),,10,2,3.57,-1.02,2.54,,,,,,,,
2003,55,Marshall,MAC (East),,8,4,1.65,0.78,2.42,,,,,,,,
2003,56,Colorado,Big 12 (North),,5,7,5.33,-3.88,1.45,,,,,,,,
2003,57,Louisville,CUSA,,9,4,5.58,-4.26,1.32,,,,,,,,
2003,58,Air Force,MWC,,7,5,0.10,1.04,1.14,,,,,,,,
2003,59,Penn State,Big Ten,,3,9,-4.66,5.42,0.77,,,,,,,,
2003,60,UCLA,Pac-10,,6,7,-2.81,3.37,0.56,,,,,,,,
2003,61,Toledo,MAC (West),,8,4,2.27,-1.88,0.39,,,,,,,,
2003,62,Hawaii,WAC,,9,5,6.60,-6.39,0.21,,,,,,,,
2003,63,Northwestern,Big Ten,,6,7,-1.79,1.88,0.09,,,,,,,,
2003,64,Kentucky,SEC (East),,4,8,2.36,-2.52,-0.16,,,,,,,,
2003,65,Nevada-Las Vegas,MWC,,6,6,-3.06,2.80,-0.26,,,,,,,,
2003,66,Kansas,Big 12 (North),,6,7,3.99,-4.58,-0.59,,,,,,,,
2003,67,Tulsa,WAC,,8,5,1.09,-1.72,-0.63,,,,,,,,
2003,68,North Texas,Sun Belt,,9,4,-1.08,0.28,-0.81,,,,,,,,
2003,69,Arizona State,Pac-10,,5,7,-0.01,-0.85,-0.86,,,,,,,,
2003,70,Rutgers,Big East,,5,7,2.96,-4.61,-1.65,,,,,,,,
2003,71,Fresno State,WAC,,9,5,-3.18,1.50,-1.69,,,,,,,,
2003,72,Navy,Ind,,8,5,-1.11,-0.62,-1.73,,,,,,,,
2003,73,San Diego State,MWC,,6,6,-7.19,4.88,-2.31,,,,,,,,
2003,74,Stanford,Pac-10,,4,7,-5.48,2.66,-2.82,,,,,,,,
2003,75,BYU,MWC,,4,8,-5.08,2.13,-2.95,,,,,,,,
2003,76,Duke,ACC,,4,8,-4.87,1.85,-3.02,,,,,,,,
2003,77,Texas A&M,Big 12 (South),,4,8,0.09,-3.55,-3.46,,,,,,,,
2003,78,South Florida,CUSA,,7,4,-3.39,-0.59,-3.98,,,,,,,,
2003,79,Houston,CUSA,,7,6,6.27,-10.50,-4.23,,,,,,,,
2003,80,North Carolina,ACC,,2,10,4.82,-9.97,-5.15,,,,,,,,
2003,81,Louisiana Tech,WAC,,5,7,0.17,-5.48,-5.31,,,,,,,,
2003,82,Nevada,WAC,,6,6,-2.17,-3.30,-5.46,,,,,,,,
2003,83,UAB,CUSA,,5,7,-4.53,-0.94,-5.47,,,,,,,,
2003,84,Wyoming,MWC,,4,8,0.08,-5.67,-5.59,,,,,,,,
2003,85,Vanderbilt,SEC (East),,2,10,-4.07,-1.78,-5.85,,,,,,,,
2003,86,Cincinnati,CUSA,,5,7,-1.12,-4.81,-5.93,,,,,,,,
2003,87,Akron,MAC (East),,7,5,3.77,-9.73,-5.96,,,,,,,,
2003,88,Western Michigan,MAC (West),,5,7,-0.38,-6.02,-6.40,,,,,,,,
2003,89,Rice,WAC,,5,7,-0.68,-6.28,-6.96,,,,,,,,
2003,90,Troy,Ind,,6,6,-10.71,3.56,-7.15,,,,,,,,
2003,91,Arizona,Pac-10,,2,10,-7.87,-0.12,-7.99,,,,,,,,
2003,92,Illinois,Big Ten,,1,11,-4.97,-3.65,-8.63,,,,,,,,
2003,93,Kent State,MAC (East),,5,7,0.81,-9.46,-8.65,,,,,,,,
2003,94,Tulane,CUSA,,5,7,1.96,-11.13,-9.17,,,,,,,,
2003,95,Baylor,Big 12 (South),,3,9,-8.28,-1.18,-9.46,,,,,,,,
2003,96,Mississippi State,SEC (West),,2,10,-4.28,-5.25,-9.53,,,,,,,,
2003,97,Indiana,Big Ten,,2,10,-7.83,-2.05,-9.87,,,,,,,,
2003,98,Iowa State,Big 12 (North),,2,10,-8.73,-1.55,-10.27,,,,,,,,
2003,99,Ball State,MAC (West),,4,8,-5.50,-4.81,-10.31,,,,,,,,
2003,100,Middle Tennessee State,Sun Belt,,4,8,2.34,-12.79,-10.45,,,,,,,,
2003,101,San Jose State,WAC,,3,8,-4.35,-6.32,-10.67,,,,,,,,
2003,102,Utah State,Sun Belt,,3,9,-6.85,-3.90,-10.75,,,,,,,,
2003,103,New Mexico State,Sun Belt,,3,9,-7.48,-3.65,-11.13,,,,,,,,
2003,104,Temple,Big East,,1,11,-5.54,-6.41,-11.95,,,,,,,,
2003,105,Louisiana,Sun Belt,,4,8,-6.43,-5.62,-12.05,,,,,,,,
2003,106,Ohio,MAC (East),,2,10,-6.69,-6.85,-13.54,,,,,,,,
2003,107,Idaho,Sun Belt,,3,9,-8.56,-5.68,-14.24,,,,,,,,
2003,108,Arkansas State,Sun Belt,,5,7,-10.32,-4.18,-14.49,,,,,,,,
2003,109,East Carolina,CUSA,,1,11,-8.70,-7.32,-16.02,,,,,,,,
2003,110,UCF,MAC (East),,3,9,-9.45,-6.92,-16.37,,,,,,,,
2003,111,Central Michigan,MAC (West),,3,9,-4.59,-12.34,-16.93,,,,,,,,
2003,112,Eastern Michigan,MAC (West),,3,9,-11.14,-6.66,-17.79,,,,,,,,
2003,113,Louisiana-Monroe,Sun Belt,,1,11,-4.60,-13.59,-18.19,,,,,,,,
2003,114,Buffalo,MAC (East),,1,11,-12.56,-5.90,-18.46,,,,,,,,
2003,115,SMU,WAC,,0,12,-16.68,-1.86,-18.53,,,,,,,,
2003,116,UTEP,WAC,,2,11,-6.36,-14.43,-20.78,,,,,,,,
2003,117,Army,CUSA,,0,13,-12.72,-9.43,-22.15,,,,,,,,
2004,1,USC,Pac-10,1,13,0,11.18,14.88,26.06,,,,,,,,
2004,2,Utah,MWC,4,12,0,16.73,5.03,21.76,,,,,,,,
2004,3,California,Pac-10,9,10,2,9.23,12.03,21.26,,,,,,,,
2004,4,Oklahoma,Big 12 (South),3,12,1,8.00,13.24,21.23,,,,,,,,
2004,5,Auburn,SEC (West),2,13,0,6.69,13.18,19.86,,,,,,,,
2004,6,Texas,Big 12 (South),5,11,1,9.01,10.26,19.27,,,,,,,,
2004,7,Miami (FL),ACC,11,9,3,8.34,9.69,18.03,,,,,,,,
2004,8,Louisville,CUSA,6,11,1,10.61,6.60,17.21,,,,,,,,
2004,9,Arizona State,Pac-10,19,9,3,8.95,6.32,15.28,,,,,,,,
2004,10,Florida State,ACC,15,9,3,2.33,12.67,15.00,,,,,,,,
2004,11,Iowa,Big Ten,8,10,2,4.43,9.96,14.39,,,,,,,,
2004,12,Virginia Tech,ACC,10,10,3,1.42,12.68,14.10,,,,,,,,
2004,13,Boise State,WAC,12,11,1,13.62,0.43,14.04,,,,,,,,
2004,14,Virginia,ACC,23,8,4,4.72,8.85,13.57,,,,,,,,
2004,15,Texas Tech,Big 12 (South),18,8,4,11.01,1.87,12.88,,,,,,,,
2004,16,Georgia,SEC (East),7,10,2,4.02,8.64,12.66,,,,,,,,
2004,17,Michigan,Big Ten,14,9,3,8.92,3.31,12.24,,,,,,,,
2004,18,Texas A&M,Big 12 (South),,7,5,5.70,6.37,12.07,,,,,,,,
2004,19,LSU,SEC (West),16,9,3,3.79,8.11,11.89,,,,,,,,
2004,20,Oregon State,Pac-10,,7,5,7.25,4.56,11.80,,,,,,,,
2004,21,Tennessee,SEC (East),13,10,3,8.75,2.94,11.69,,,,,,,,
2004,22,Ohio State,Big Ten,20,8,4,2.71,8.60,11.31,,,,,,,,
2004,23,Purdue,Big Ten,,7,5,3.98,6.95,10.93,,,,,,,,
2004,24,Oklahoma State,Big 12 (South),,7,5,7.46,2.18,9.64,,,,,,,,
2004,25,UCLA,Pac-10,,6,6,9.61,0.01,9.61,,,,,,,,
2004,26,Florida,SEC (East),,7,5,5.60,3.98,9.58,,,,,,,,
2004,27,Fresno State,WAC,22,9,3,5.61,3.94,9.55,,,,,,,,
2004,28,Wisconsin,Big Ten,17,9,3,-1.08,9.76,8.69,,,,,,,,
2004,29,Arkansas,SEC (West),,5,6,6.15,0.43,6.58,,,,,,,,
2004,30,Georgia Tech,ACC,,7,5,-0.39,6.81,6.41,,,,,,,,
2004,31,Stanford,Pac-10,,4,7,-2.00,8.27,6.27,,,,,,,,
2004,32,Notre Dame,Ind,,6,6,2.81,3.41,6.22,,,,,,,,
2004,33,North Carolina State,ACC,,5,6,0.87,5.16,6.04,,,,,,,,
2004,34,Alabama,SEC (West),,6,6,-1.93,7.70,5.77,,,,,,,,
2004,35,Minnesota,Big Ten,,7,5,3.63,2.11,5.74,,,,,,,,
2004,36,UTEP,WAC,,8,4,4.73,0.93,5.65,,,,,,,,
2004,37,Bowling Green State,MAC (West),,9,3,6.44,-0.93,5.50,,,,,,,,
2004,38,Boston College,Big East,21,9,3,-0.85,6.12,5.28,,,,,,,,
2004,39,West Virginia,Big East,,8,4,3.66,1.60,5.27,,,,,,,,
2004,40,Clemson,ACC,,6,5,1.61,3.62,5.23,,,,,,,,
2004,41,Kansas,Big 12 (North),,4,7,-1.10,6.15,5.05,,,,,,,,
2004,42,Colorado,Big 12 (North),,8,5,1.54,3.42,4.96,,,,,,,,
2004,43,Oregon,Pac-10,,5,6,3.38,1.22,4.60,,,,,,,,
2004,44,North Carolina,ACC,,6,6,7.42,-2.96,4.47,,,,,,,,
2004,45,New Mexico,MWC,,7,5,-4.65,8.90,4.24,,,,,,,,
2004,46,BYU,MWC,,5,6,1.95,2.23,4.18,,,,,,,,
2004,47,South Carolina,SEC (East),,6,5,-1.09,4.93,3.85,,,,,,,,
2004,48,Maryland,ACC,,5,6,-3.87,7.40,3.54,,,,,,,,
2004,49,Penn State,Big Ten,,4,7,-6.67,9.91,3.24,,,,,,,,
2004,50,Pitt,Big East,25,8,4,2.19,0.76,2.96,,,,,,,,
2004,51,Washington State,Pac-10,,5,6,4.34,-1.67,2.67,,,,,,,,
2004,52,Michigan State,Big Ten,,5,7,4.19,-1.89,2.30,,,,,,,,
2004,53,Cincinnati,CUSA,,7,5,-0.07,2.36,2.29,,,,,,,,
2004,54,Iowa State,Big 12 (North),,7,5,-2.86,4.95,2.08,,,,,,,,
2004,55,Kansas State,Big 12 (North),,4,7,7.73,-5.70,2.04,,,,,,,,
2004,56,Northwestern,Big Ten,,6,6,3.14,-1.44,1.71,,,,,,,,
2004,57,Wake Forest,ACC,,4,7,-1.56,3.14,1.58,,,,,,,,
2004,58,Wyoming,MWC,,7,5,0.37,1.19,1.56,,,,,,,,
2004,59,Nebraska,Big 12 (North),,5,6,-0.43,1.75,1.32,,,,,,,,
2004,60,Memphis,CUSA,,8,4,7.81,-6.53,1.28,,,,,,,,
2004,61,Missouri,Big 12 (North),,5,6,-3.75,5.03,1.27,,,,,,,,
2004,62,Navy,Ind,24,10,2,-1.63,2.83,1.20,,,,,,,,
2004,63,Connecticut,Big East,,8,4,0.03,0.81,0.83,,,,,,,,
2004,64,Hawaii,WAC,,8,5,6.79,-6.23,0.56,,,,,,,,
2004,65,Air Force,MWC,,5,6,5.57,-5.04,0.52,,,,,,,,
2004,66,Arizona,Pac-10,,3,8,-5.90,6.27,0.37,,,,,,,,
2004,67,Colorado State,MWC,,4,7,-0.07,0.15,0.08,,,,,,,,
2004,68,Northern Illinois,MAC (West),,9,3,4.84,-4.78,0.06,,,,,,,,
2004,69,Louisiana Tech,WAC,,6,6,-1.08,1.07,0.00,,,,,,,,
2004,70,Syracuse,Big East,,6,6,0.83,-0.90,-0.07,,,,,,,,
2004,71,Troy,Sun Belt,,7,5,-3.95,3.48,-0.47,,,,,,,,
2004,72,Southern Mississippi,CUSA,,7,5,-1.95,0.86,-1.09,,,,,,,,
2004,73,Toledo,MAC (West),,9,4,2.64,-4.29,-1.65,,,,,,,,
2004,74,Miami (OH),MAC (East),,8,5,-0.48,-1.45,-1.93,,,,,,,,
2004,75,UAB,CUSA,,7,5,2.47,-4.63,-2.15,,,,,,,,
2004,76,Ole Miss,SEC (West),,4,7,-2.74,0.58,-2.17,,,,,,,,
2004,77,San Diego State,MWC,,4,7,-4.01,1.43,-2.57,,,,,,,,
2004,78,Texas Christian,CUSA,,5,6,5.27,-8.31,-3.04,,,,,,,,
2004,79,Illinois,Big Ten,,3,8,-3.90,-0.63,-4.53,,,,,,,,
2004,80,Marshall,MAC (East),,6,6,-3.19,-1.55,-4.74,,,,,,,,
2004,81,Indiana,Big Ten,,3,8,-0.28,-4.70,-4.98,,,,,,,,
2004,82,New Mexico State,Sun Belt,,5,6,-1.70,-4.25,-5.95,,,,,,,,
2004,83,Washington,Pac-10,,1,10,-7.58,1.31,-6.27,,,,,,,,
2004,84,Houston,CUSA,,3,8,-5.83,-1.01,-6.84,,,,,,,,
2004,85,North Texas,Sun Belt,,7,5,-1.83,-5.07,-6.90,,,,,,,,
2004,86,Mississippi State,SEC (West),,3,8,-8.35,1.38,-6.97,,,,,,,,
2004,87,Florida Atlantic,Sun Belt,,9,3,-8.68,1.68,-6.99,,,,,,,,
2004,88,South Florida,CUSA,,4,7,-2.42,-4.61,-7.03,,,,,,,,
2004,89,Kentucky,SEC (East),,2,9,-5.21,-2.05,-7.26,,,,,,,,
2004,90,Vanderbilt,SEC (East),,2,9,-4.18,-3.10,-7.28,,,,,,,,
2004,91,Baylor,Big 12 (South),,3,8,-1.49,-6.03,-7.51,,,,,,,,
2004,92,Kent State,MAC (East),,5,6,-3.72,-3.81,-7.53,,,,,,,,
2004,93,Tulsa,WAC,,4,8,0.00,-7.57,-7.57,,,,,,,,
2004,94,Duke,ACC,,2,9,-3.59,-4.46,-8.04,,,,,,,,
2004,95,Tulane,CUSA,,5,6,-1.39,-6.73,-8.12,,,,,,,,
2004,96,Rutgers,Big East,,4,7,-1.10,-7.06,-8.16,,,,,,,,
2004,97,Nevada-Las Vegas,MWC,,2,9,-3.57,-4.65,-8.21,,,,,,,,
2004,98,Akron,MAC (East),,6,5,-2.02,-7.05,-9.06,,,,,,,,
2004,99,Middle Tennessee State,Sun Belt,,5,6,-4.49,-4.70,-9.19,,,,,,,,
2004,100,Rice,WAC,,3,8,-2.01,-7.30,-9.31,,,,,,,,
2004,101,Nevada,WAC,,5,7,-2.01,-7.92,-9.93,,,,,,,,
2004,102,SMU,WAC,,3,8,-9.81,-1.14,-10.95,,,,,,,,
2004,103,Temple,Big East,,2,9,-4.06,-7.26,-11.33,,,,,,,,
2004,104,Army,CUSA,,2,9,-3.73,-7.63,-11.36,,,,,,,,
2004,105,East Carolina,CUSA,,2,9,-4.12,-8.77,-12.89,,,,,,,,
2004,106,Ohio,MAC (East),,4,7,-9.91,-3.33,-13.25,,,,,,,,
2004,107,Louisiana-Monroe,Sun Belt,,5,6,-8.13,-5.28,-13.40,,,,,,,,
2004,108,Louisiana,Sun Belt,,4,7,-8.33,-5.35,-13.67,,,,,,,,
2004,109,San Jose State,WAC,,2,9,1.31,-15.70,-14.39,,,,,,,,
2004,110,Utah State,Sun Belt,,3,8,-10.22,-4.33,-14.55,,,,,,,,
2004,111,Ball State,MAC (West),,2,9,-8.95,-6.35,-15.30,,,,,,,,
2004,112,Arkansas State,Sun Belt,,3,8,-7.23,-8.82,-16.05,,,,,,,,
2004,113,Eastern Michigan,MAC (West),,4,7,0.19,-17.20,-17.01,,,,,,,,
2004,114,Central Michigan,MAC (West),,4,7,-6.48,-10.59,-17.07,,,,,,,,
2004,115,Idaho,Sun Belt,,3,9,-8.75,-8.86,-17.61,,,,,,,,
2004,116,Western Michigan,MAC (West),,1,10,-7.94,-10.87,-18.81,,,,,,,,
2004,117,Florida A&M,Ind,,3,8,-8.15,-13.51,-21.65,,,,,,,,
2004,118,UCF,MAC (East),,0,11,-10.43,-11.25,-21.68,,,,,,,,
2004,119,Buffalo,MAC (East),,2,9,-13.80,-8.15,-21.95,,,,,,,,
2004,120,Florida International,Sun Belt,,3,7,-5.29,-17.16,-22.45,,,,,,,,
2005,1,Texas,Big 12 (South),1,13,0,14.05,10.93,24.98,,,,,,,,
2005,2,USC,Pac-10,2,12,1,17.06,7.51,24.57,,,,,,,,
2005,3,Ohio State,Big Ten,4,10,2,7.09,15.88,22.97,,,,,,,,
2005,4,Penn State,Big Ten,3,11,1,8.75,11.66,20.41,,,,,,,,
2005,5,Virginia Tech,ACC (Coastal),7,11,2,6.14,12.83,18.96,,,,,,,,
2005,6,Notre Dame,Ind,9,9,3,14.72,2.74,17.46,,,,,,,,
2005,7,Miami (FL),ACC (Coastal),17,9,3,3.83,11.26,15.09,,,,,,,,
2005,8,Michigan,Big Ten,,7,5,5.19,9.67,14.86,,,,,,,,
2005,9,LSU,SEC (West),6,11,2,4.35,9.83,14.18,,,,,,,,
2005,10,Georgia,SEC (East),10,10,3,5.10,8.65,13.75,,,,,,,,
2005,11,Auburn,SEC (West),14,9,3,5.62,8.01,13.63,,,,,,,,
2005,12,Oregon,Pac-10,12,10,2,8.22,4.91,13.13,,,,,,,,
2005,13,West Virginia,Big East,5,11,1,6.53,6.52,13.05,,,,,,,,
2005,14,Alabama,SEC (West),8,10,2,0.15,12.74,12.89,,,,,,,,
2005,15,Florida,SEC (East),12,9,3,5.40,6.92,12.32,,,,,,,,
2005,16,Boston College,ACC (Atlantic),18,9,3,1.21,10.80,12.01,,,,,,,,
2005,17,Wisconsin,Big Ten,15,10,3,8.09,3.71,11.81,,,,,,,,
2005,18,Texas Tech,Big 12 (South),20,9,3,5.26,6.15,11.40,,,,,,,,
2005,19,Minnesota,Big Ten,,7,5,12.31,-1.00,11.31,,,,,,,,
2005,20,Iowa,Big Ten,,7,5,3.66,7.64,11.30,,,,,,,,
2005,21,Oklahoma,Big 12 (South),22,8,4,4.65,6.59,11.24,,,,,,,,
2005,22,UCLA,Pac-10,16,10,2,13.68,-2.46,11.22,,,,,,,,
2005,23,Texas Christian,MWC,11,11,1,4.83,6.38,11.21,,,,,,,,
2005,24,Louisville,Big East,19,9,3,11.63,-0.51,11.12,,,,,,,,
2005,25,Clemson,ACC (Atlantic),21,8,4,4.87,6.22,11.09,,,,,,,,
2005,26,Arizona State,Pac-10,,7,5,11.21,-1.59,9.63,,,,,,,,
2005,27,Florida State,ACC (Atlantic),23,8,5,5.93,3.43,9.36,,,,,,,,
2005,28,Northwestern,Big Ten,,7,5,11.28,-2.01,9.27,,,,,,,,
2005,29,California,Pac-10,25,8,4,3.58,5.07,8.64,,,,,,,,
2005,30,Iowa State,Big 12 (North),,7,5,3.52,4.96,8.48,,,,,,,,
2005,31,Michigan State,Big Ten,,5,6,6.81,1.52,8.32,,,,,,,,
2005,32,Nebraska,Big 12 (North),24,8,4,2.97,4.60,7.57,,,,,,,,
2005,33,Georgia Tech,ACC (Coastal),,7,5,-1.03,8.35,7.31,,,,,,,,
2005,34,Purdue,Big Ten,,5,6,5.31,1.82,7.13,,,,,,,,
2005,35,Colorado,Big 12 (North),,7,6,-1.66,8.26,6.60,,,,,,,,
2005,36,North Carolina State,ACC (Atlantic),,7,5,-1.59,7.32,5.73,,,,,,,,
2005,37,Fresno State,WAC,,8,5,4.43,1.28,5.72,,,,,,,,
2005,38,Virginia,ACC (Coastal),,7,5,2.71,2.90,5.61,,,,,,,,
2005,39,South Carolina,SEC (East),,7,5,1.04,4.21,5.24,,,,,,,,
2005,40,Kansas,Big 12 (North),,7,5,-1.76,6.98,5.22,,,,,,,,
2005,41,Maryland,ACC (Atlantic),,5,6,3.82,1.29,5.11,,,,,,,,
2005,42,South Florida,Big East,,6,6,-1.79,6.86,5.07,,,,,,,,
2005,43,Tennessee,SEC (East),,5,6,-3.25,7.50,4.25,,,,,,,,
2005,44,Tulsa,CUSA (West),,9,4,2.58,1.37,3.95,,,,,,,,
2005,45,Missouri,Big 12 (North),,7,5,7.23,-3.55,3.68,,,,,,,,
2005,46,Toledo,MAC (West),,9,3,4.02,-0.44,3.58,,,,,,,,
2005,47,Arkansas,SEC (West),,4,7,1.52,1.92,3.44,,,,,,,,
2005,48,North Carolina,ACC (Coastal),,5,6,-1.05,4.49,3.44,,,,,,,,
2005,49,Northern Illinois,MAC (West),,7,5,2.54,0.29,2.83,,,,,,,,
2005,50,Utah,MWC,,7,5,3.65,-0.81,2.83,,,,,,,,
2005,51,Texas A&M,Big 12 (South),,5,6,6.47,-4.30,2.16,,,,,,,,
2005,52,Boise State,WAC,,9,4,3.27,-1.16,2.11,,,,,,,,
2005,53,Navy,Ind,,8,4,5.62,-3.85,1.77,,,,,,,,
2005,54,Washington State,Pac-10,,4,7,4.80,-3.19,1.60,,,,,,,,
2005,55,BYU,MWC,,6,6,5.34,-3.75,1.58,,,,,,,,
2005,56,Miami (OH),MAC (East),,7,4,5.17,-3.82,1.35,,,,,,,,
2005,57,Rutgers,Big East,,7,5,1.93,-0.63,1.30,,,,,,,,
2005,58,Southern Mississippi,CUSA (East),,7,5,2.47,-1.22,1.26,,,,,,,,
2005,59,Stanford,Pac-10,,5,6,0.83,0.36,1.19,,,,,,,,
2005,60,Pitt,Big East,,5,6,-1.77,2.74,0.97,,,,,,,,
2005,61,Baylor,Big 12 (South),,5,6,-3.03,3.79,0.76,,,,,,,,
2005,62,Wake Forest,ACC (Atlantic),,4,7,1.87,-1.66,0.21,,,,,,,,
2005,63,Arizona,Pac-10,,3,8,-2.50,2.60,0.11,,,,,,,,
2005,64,Central Michigan,MAC (West),,6,5,-2.40,1.98,-0.42,,,,,,,,
2005,65,Vanderbilt,SEC (East),,5,6,5.00,-5.75,-0.75,,,,,,,,
2005,66,Oregon State,Pac-10,,5,6,1.76,-2.63,-0.87,,,,,,,,
2005,67,Kansas State,Big 12 (North),,5,6,0.80,-2.22,-1.42,,,,,,,,
2005,68,San Diego State,MWC,,5,7,-0.72,-0.85,-1.57,,,,,,,,
2005,69,Memphis,CUSA (East),,7,5,-1.00,-0.76,-1.76,,,,,,,,
2005,70,Connecticut,Big East,,5,6,-5.02,3.14,-1.88,,,,,,,,
2005,71,UTEP,CUSA (West),,8,4,0.96,-3.42,-2.45,,,,,,,,
2005,72,New Mexico,MWC,,6,5,2.52,-5.03,-2.51,,,,,,,,
2005,73,Colorado State,MWC,,6,6,0.27,-3.03,-2.76,,,,,,,,
2005,74,Houston,CUSA (West),,6,6,1.69,-4.62,-2.93,,,,,,,,
2005,75,Washington,Pac-10,,2,9,-4.49,1.38,-3.11,,,,,,,,
2005,76,Bowling Green State,MAC (East),,6,5,1.86,-5.02,-3.17,,,,,,,,
2005,77,Louisiana Tech,WAC,,7,4,-1.11,-2.28,-3.39,,,,,,,,
2005,78,Indiana,Big Ten,,4,7,-0.24,-3.26,-3.50,,,,,,,,
2005,79,UCF,CUSA (East),,8,5,1.71,-5.31,-3.60,,,,,,,,
2005,80,UAB,CUSA (East),,5,6,0.10,-4.14,-4.04,,,,,,,,
2005,81,Air Force,MWC,,4,7,2.63,-7.00,-4.38,,,,,,,,
2005,82,SMU,CUSA (West),,5,6,-6.34,1.48,-4.87,,,,,,,,
2005,83,Wyoming,MWC,,4,7,-3.11,-1.76,-4.88,,,,,,,,
2005,84,Nevada,WAC,,9,3,2.43,-7.64,-5.21,,,,,,,,
2005,85,Akron,MAC (East),,7,6,-3.34,-2.16,-5.50,,,,,,,,
2005,86,Western Michigan,MAC (West),,7,4,4.03,-9.58,-5.55,,,,,,,,
2005,87,Hawaii,WAC,,5,7,2.18,-7.79,-5.61,,,,,,,,
2005,88,Army,Ind,,4,7,-4.62,-1.19,-5.81,,,,,,,,
2005,89,Oklahoma State,Big 12 (South),,4,7,-3.27,-3.02,-6.28,,,,,,,,
2005,90,East Carolina,CUSA (East),,5,6,-2.15,-4.34,-6.49,,,,,,,,
